user_name,repository_name,no_of_stars,repository_url
amphp,amp,3400.0,https://github.com/amphp/amp
danog,MadelineProto,1700.0,https://github.com/danog/MadelineProto
amphp,http-server,1100.0,https://github.com/amphp/http-server
unreal4u,telegram-api,67000.0,https://github.com/unreal4u/telegram-api
amphp,http-client,58000.0,https://github.com/amphp/http-client
amphp,parallel,52000.0,https://github.com/amphp/parallel
php-service-bus,service-bus,30000.0,https://github.com/php-service-bus/service-bus
amphp,mysql,25000.0,https://github.com/amphp/mysql
amphp,byte-stream,25000.0,https://github.com/amphp/byte-stream
amphp,parallel-functions,19000.0,https://github.com/amphp/parallel-functions
amphp,process,14000.0,https://github.com/amphp/process
amphp,socket,13000.0,https://github.com/amphp/socket
amphp,redis,11000.0,https://github.com/amphp/redis
kelunik,acme,10000.0,https://github.com/kelunik/acme
amphp,dns,9000.0,https://github.com/amphp/dns
amphp,websocket-client,9000.0,https://github.com/amphp/websocket-client
PeeHaa,mailgrab,9000.0,https://github.com/PeeHaa/mailgrab
amphp,sync,8000.0,https://github.com/amphp/sync
jolicode,asynit,6000.0,https://github.com/jolicode/asynit
amphp,websocket-server,6000.0,https://github.com/amphp/websocket-server
amphp,cache,5000.0,https://github.com/amphp/cache
amphp,file,5000.0,https://github.com/amphp/file
amphp,postgres,5000.0,https://github.com/amphp/postgres
amphp,serialization,5000.0,https://github.com/amphp/serialization
amphp,beanstalk,5000.0,https://github.com/amphp/beanstalk
amphp,windows-registry,5000.0,https://github.com/amphp/windows-registry
amphp,hpack,5000.0,https://github.com/amphp/hpack
phpinnacle,ridge,4000.0,https://github.com/phpinnacle/ridge
amphp,aerys,4000.0,https://github.com/amphp/aerys
Room-11,Jeeves,4000.0,https://github.com/Room-11/Jeeves
